address,pubkey,value
11123a4hqZNZrmohCsv8FvvcgoAsbQoPRV,,31005900000
11129pCiyoLMxg1e7fHSqWtVJpHQPvCGMk,,34000000
1122Y7ke3EtBuBVYw6Xgbdkj2LLZ57uZ8v,,1011500000
1125337irwDrpumsPgM6ubHtdmcUWfSpTR,,518321170000
11267u9RYkkS1dKaSyD79ipWcJJL5Sgyz2,,15000000
1126yVaVzNfMmA1E1Negocs8HCpkAnzvgv,,1004500000
1128YMdR3fQ9TqT9oUmAE42ZsvfiSs2Mis,,1004500000
112HdHHbh25rEKF5i5tEtkRriK3dic5Muw,,2100000
112WhdEDdjPXQYEuA5joszxaced8J3UadC,,700000
112pHzeo7wrKkq2V2Ff5wP897DnUGW4sfY,,1022810000
112uVsBXabp1o6MQjgrArDA1jteWaCECsG,,13800000000
112yeKiQzAu2DyVbjai9CncJBUfo5FPBrJ,,2800000
1134GXknnZY7VjggxKFyT1eVWvFF2YdMKS,,1004500000
113M5jhgqr5WhLo7FDtgwZuU73rimz2Kdz,,700000
113Sovv8srLskDGbYjo9RhgZUDbV8v9cCf,,1007300000
113Vwxj4mgcD9jSfXgicpbFVC9tczvbK31,,445000000
113Xc1re8PadQqn6io5NJzMYu7QwXehD1c,,18074630000
113cQLezBDJNv7FD8MBktkNCrkYREP52tV,,294000000
113hPUt5syAs6rUG1GrcDj3W1SHRThSZxo,,1007300000
113kamwgtF7zowwoSkWu2NytDKf5p9yuoz,,2800000
113rHAvGFmCs3GuVRReqyUp127Wt5fYPBr,,1000000000
113rUjXuSioYH92QrqntJsoZm26D5KS8a8,,242000000
113xKik3pDvm6WzpUwS4qve34pP8b4ZySA,,128854440000
113zynKWXuAGTZCMqyf81a6o1AQNCnScfR,,1076040000
11441dMaEQHkNxt5zsfsvs2bXHoJjp6m7h,,13244660000
114AYZ9uVRHx6cqNk5A4Lk5i5PYqxjd81a,,191122620000
114B31hA4a91fyfYNwot8guoZTrJgAugUp,,107957520000
114EgTkyawF8WgCmGTJ1LmvUnLaLt9JaZG,,518476580000
114KwHzNH5b11ZziQtocrTvWfs2PsuQ3nw,,3017450000
114PsrEzAXj315zxqoYcsb6DytoTfxKjDz,,700000
114RhatxyqVC1TP2NgXTPWmKsWYQsfbCY9,,309955950000
114SrtkNihbKxcwwUGfJEdz8JZXHJxrWro,,991800000
114Zs4T1VasCXGYgXqjAPkBuF5UcARNB98,,1004500000
114aeubC4uvyakL668rpTfFboEaXLKmXeL,,5342750000
114iA2TVjWCM99gGrXVntcje1ntVJRmUTs,,17767984000
114iyBY3heSqYvozfH5yWvDFTTyAQnGnma,,145129710000
